1,4
2,1
2167,0
3,0
99,4
1223,2
1139,2
1140,2
1141,1
1142,2
1143,1
1144,2
1145,4
23,1
1147,2
1148,0
129,2
101,1
1149,2
1150,4
1152,2
1308,0
1155,0
1156,1
1384,1
1158,2
102,3
1159,3
1160,2
1161,1
1162,3
1163,2
1164,1
1165,3
1166,0
1167,1
1168,2
1169,2
224,2
1170,1
1171,2
1172,3
1173,1
1174,3
1175,2
1176,1
1177,0
1178,3
225,2
104,0
1179,1
1180,2
1181,1
1182,1
1183,1
1184,3
1185,2
1186,2
227,2
1188,0
1190,0
1191,1
1192,0
1194,2
228,3
1195,2
1197,2
1198,0
108,2
1199,1
1200,0
1201,3
1202,2
1389,0
229,1
1203,3
1204,0
1205,1
1206,0
1207,0
1208,1
1390,4
1391,1
230,2
130,1
1394,3
1396,0
1397,2
1399,1
1401,2
2168,1
231,3
1403,1
131,2
1405,2
1409,0
232,1
1226,0
1411,2
1412,0
1413,3
13,3
1416,1
233,1
1227,4
1420,1
1422,4
1423,3
1425,2
139,3
1216,1
1427,0
1228,0
1429,0
1430,1
1431,4
1432,1
1433,3
1434,0
1309,2
1435,2
140,2
1436,0
1437,0
112,3
1438,1
1440,1
1441,0
1443,0
1444,4
1445,2
141,2
1229,2
1448,3
1449,1
1450,0
234,1
1452,2
1454,0
1455,0
1456,1
1457,0
1458,4
235,2
1459,3
1460,0
1461,2
1462,0
1463,3
1464,2
1231,1
1467,2
1468,0
1469,4
1471,3
1472,0
1232,0
1475,1
237,4
1477,2
1478,1
1479,1
1480,0
1481,3
1482,2
1483,3
109,1
2169,1
1484,3
1485,1
145,2
1487,0
1489,0
1490,4
1491,2
1492,1
241,3
1494,1
1234,0
1495,2
1498,1
146,2
1499,2
1500,2
1501,1
1503,0
242,2
1505,2
1506,2
1235,3
1507,2
1510,0
147,2
1512,2
243,0
1514,0
1515,2
1516,2
1236,0
1519,2
1521,1
14,3
245,2
148,4
1522,0
1523,0
1524,2
1237,2
1526,3
1310,3
1532,1
1533,1
149,4
1534,2
1535,0
1238,0
1537,1
1538,1
1541,1
246,2
1544,2
1545,1
151,1
1547,0
113,1
1548,0
25,0
1552,1
1553,1
1554,0
1556,0
152,0
1558,0
1559,2
247,0
1560,0
1561,2
1562,0
1563,0
1564,0
1565,0
1567,0
1240,1
153,1
248,0
1568,0
1569,1
1572,0
1573,3
1574,0
1575,0
1576,0
1241,0
2170,2
249,1
1577,1
1580,4
1583,0
1585,0
250,3
1209,1
1586,3
1587,1
1588,2
1591,0
1592,4
1593,3
251,2
1595,0
1596,1
1243,0
1597,0
1598,2
1599,0
156,1
1600,1
1602,2
252,0
1604,2
1605,0
1244,4
1607,0
1608,1
1609,2
157,1
1610,0
253,2
1611,2
1612,0
1613,3
1614,1
1616,2
1617,1
1618,0
1619,2
1620,0
254,3
158,1
1621,1
1622,3
1623,0
1624,0
1246,0
1625,1
1626,2
1627,0
1311,1
1629,4
1630,0
16,0
1631,1
1632,0
1247,2
1633,0
1634,1
1636,1
255,0
1637,0
1638,0
1639,3
1641,2
1642,0
1248,1
1643,1
1644,1
1646,1
1647,1
1648,0
1650,0
1651,1
114,4
1653,1
1654,1
1655,0
1656,0
1657,1
1658,1
1659,1
1660,0
1661,2
1249,2
259,0
163,0
1664,1
1665,2
1666,1
1667,0
1670,0
260,2
1250,0
1671,2
1672,1
1673,0
1674,2
1675,0
1676,1
261,2
1679,0
1210,0
1251,2
1682,1
1683,2
165,2
1685,1
1687,1
1688,0
263,0
1690,2
1691,1
1252,2
1692,0
1693,0
1694,1
167,0
1695,2
1696,0
264,2
1697,2
1698,0
1699,1
1700,2
1253,0
1701,3
1703,4
1704,2
168,0
1706,0
1707,2
1708,4
1709,2
1710,1
1711,1
1712,0
1713,0
266,1
1714,0
1715,1
1716,2
1718,0
1255,0
1719,3
1720,0
1721,2
12,2
1722,2
1724,3
170,1
1725,4
1726,0
1727,2
1256,1
1728,1
1729,1
267,2
1730,0
1732,1
1733,1
1734,1
171,1
1735,3
1736,2
1737,1
1738,1
1739,0
1740,1
1742,3
1743,2
1744,1
172,4
1258,3
2171,1
269,3
1745,3
1746,0
1747,1
1749,2
1750,1
1752,4
1754,0
1755,1
27,3
115,1
174,3
1756,1
1757,1
1758,2
1759,0
1761,4
1763,1
270,0
1764,2
1259,0
1765,3
1766,0
1767,1
1769,1
1770,2
1771,1
271,4
1772,1
1773,1
1211,2
1774,1
1776,4
176,2
